date,occupancy_risk
2008-01-25,0.024539068
2008-01-26,0.030595183
2008-01-27,0.028420782
2008-01-28,0.018532356
2008-01-29,0.02964098
2008-01-30,0.024898557
2008-01-31,0.025003003
2008-02-01,0.021587765
2008-02-02,0.019020608
2008-02-03,0.026429528
2008-02-04,0.024772039
2008-02-05,0.026636861
2008-02-06,0.024030069
2008-02-07,0.0294654
2008-02-08,0.026357053
2008-02-09,0.033776976
2008-02-10,0.01910059
2008-02-11,0.048727393
2008-02-12,0.015699022
2008-02-13,0.045860264
2008-02-14,0.021978118
2008-02-15,0.04458921
2008-02-16,0.017990777
2008-02-17,0.022358283
2008-02-18,0.024957735
2008-02-19,0.027530966
2008-02-20,0.023048172
2008-02-21,0.015531438
2008-02-22,0.03080309
2008-02-23,0.022766102
2008-02-24,0.017195452
2008-02-25,0.016913224
2008-02-26,0.021337217
2008-02-27,0.018015156
2008-02-28,0.017860427
2008-02-29,0.0271847
2008-03-01,0.0259285
2008-03-02,0.016941195
2008-03-03,0.017233497
2008-03-04,0.04466478
2008-03-05,0.015429845
2008-03-06,0.024306824
2008-03-07,0.020912107
2008-03-08,0.030444559
2008-03-09,0.022839068
2008-03-10,0.027557362
2008-03-11,0.01740133
2008-03-12,0.021884574
2008-03-13,0.018829567
2008-03-14,0.017528672
2008-03-15,0.023300594
2008-03-16,0.02156336
2008-03-17,0.021835618
2008-03-18,0.017454142
2008-03-19,0.019982846
2008-03-20,0.019074189
2008-03-21,0.030294444
2008-03-22,0.04148241
2008-03-23,0.7100104
2008-03-24,0.39689305
2008-03-25,0.68606913
2008-03-26,0.43925834
2008-03-27,0.51740533
2008-03-28,0.46896103
2008-03-29,0.77299285
2008-03-30,0.42967328
2008-03-31,0.38459867
2008-04-01,0.45648512
2008-04-02,0.47313842
2008-04-03,0.4299811
2008-04-04,0.46724832
2008-04-05,0.40934902
2008-04-06,0.60215324
2008-04-07,0.37214547
2008-04-08,0.30980894
2008-04-09,0.46927595
2008-04-10,0.742584
2008-04-11,0.67089146
2008-04-12,0.5960488
2008-04-13,0.60862505
2008-04-14,0.061148647
2008-04-15,0.007317349
2008-04-16,0.024928832
2008-04-17,0.11591611
2008-04-18,0.05089751
2008-04-19,0.14050736
2008-04-20,0.084153995
2008-04-21,0.023741726
2008-04-22,0.01344539
2008-04-23,0.15327756
2008-04-24,0.087852456
2008-04-25,0.113806725
2008-04-26,0.058739264
2008-04-27,0.08036848
2008-04-28,0.06412275
2008-04-29,0.067206055
2008-04-30,0.051110722
2008-05-01,0.12278048
2008-05-02,0.1537974
2008-05-03,0.037678543
2008-05-04,0.030003654
2008-05-05,0.05236105
2008-05-06,0.04180718
2008-05-07,0.07524386
2008-05-08,0.114023864
2008-05-09,0.14330307
2008-05-10,0.05892098
2008-05-11,0.09143724
2008-05-12,0.061713368
2008-05-13,0.12124111
2008-05-14,0.047220364
2008-05-15,0.1341338
2008-05-16,0.049652904
2008-05-17,0.031519417
2008-05-18,0.01042822
2008-05-19,0.032506898
2008-05-20,0.029754113
2008-05-21,0.024801902
2008-05-22,0.017355844
2008-05-23,0.030240087
2008-05-24,0.030228198
2008-05-25,0.02016442
2008-05-26,0.014526532
2008-05-27,0.03562966
2008-05-28,0.03137251
2008-05-29,0.02229422
2008-05-30,0.04521067
2008-05-31,0.01745657
2008-06-01,0.029974027
2008-06-02,0.023155147
2008-06-03,0.026436733
2008-06-04,0.027151097
2008-06-05,0.020794272
2008-06-06,0.018921793
2008-06-07,0.029609054
2008-06-08,0.02282322
2008-06-09,0.021076305
2008-06-10,0.019637292
2008-06-11,0.036140792
2008-06-12,0.015437461
2008-06-13,0.021179147
2008-06-14,0.019615704
2008-06-15,0.016909158
2008-06-16,0.025143784
